image path,title,price,image URL
D:\study\OJT\ImagesBookSearch\backend\images\image_244718_1_6169.jpg,Chuyện Cũ Ở Sốc - Trăng - Tập 2,191.400đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_6169.jpg
D:\study\OJT\ImagesBookSearch\backend\images\dung-la-tet.jpg,Đúng Là Tết,61.200đ,https://cdn0.fahasa.com/media/catalog/product/d/u/dung-la-tet.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786045899199.jpg,Câu Chuyện Cải Lương Thật Và Đẹp,59.500đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786045899199.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_231636.jpg,Hùng Vương Thánh Tổ Ngọc Phả,141.100đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_231636.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786043254228.jpg,Vẻ Đẹp Của Những Vật Dụng Hàng Ngày,207.500đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043254228.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_180820.jpg,Tarot Nhập Môn (Tái Bản 2019),102.000đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_180820.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935235239531.jpg,Việt Nam Văn Hóa Sử Cương,134.300đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935235239531.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_221860.jpg,Phong Vị Xuân Xưa - Ngày Xuân Xem Sách Biết Việc Cổ Kim,132.600đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_221860.jpg
D:\study\OJT\ImagesBookSearch\backend\images\b_a-1---ngh_-thu_t.jpg,Nghệ Thuật - Khái Lược Những Tư Tưởng Lớn - Bìa Cứng,391.500đ,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1---ngh_-thu_t.jpg
D:\study\OJT\ImagesBookSearch\backend\images\tet-viet---ban-thuong---bia-1.jpg,Tết Việt,131.970đ,https://cdn0.fahasa.com/media/catalog/product/t/e/tet-viet---ban-thuong---bia-1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\atlas-vietnam_dat-nuoc-gam-hoa_bia-_eng-ver_.jpg,Picture Atlas Of Vietnam - The Land Of Charm - Đất Nước Gấm Hoa - Bìa Cứng (English Version),315.000đ,https://cdn0.fahasa.com/media/catalog/product/a/t/atlas-vietnam_dat-nuoc-gam-hoa_bia-_eng-ver_.jpg
D:\study\OJT\ImagesBookSearch\backend\images\potao-14x20.5cm-final_outline_23.11.2018-01.jpg,"Pötao, Một Lý Thuyết Về Quyền Lực Ở Người Jörai Đông Dương",214.400đ,https://cdn0.fahasa.com/media/catalog/product/p/o/potao-14x20.5cm-final_outline_23.11.2018-01.jpg
D:\study\OJT\ImagesBookSearch\backend\images\bia_suc-manh-than-bi---b1.jpg,Sức Mạnh Thần Bí Ẩn Sau Những Lời Cầu Nguyện,121.360đ,https://cdn0.fahasa.com/media/catalog/product/b/i/bia_suc-manh-than-bi---b1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\nxbtre_full_21242024_102424.jpg,Lịch Sử Khẩn Hoang Miền Nam (Tái Bản 2024),100.050đ,https://cdn0.fahasa.com/media/catalog/product/n/x/nxbtre_full_21242024_102424.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935235236707.jpg,Sài Gòn Hay Ta!,168.300đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935235236707.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2718.jpg,"Thanh Lịch Như Người Pháp, Hiếu Khách Như Người Việt",136.000đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2718.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8794069304385.jpg,Văn Minh Vật Chất Của Người Việt (Tái Bản 2022),231.000đ,https://cdn0.fahasa.com/media/catalog/product/8/7/8794069304385.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_225543_1.jpg,ISMS - Hiểu Về Nghệ Thuật Hiện Đại (Tái Bản 2023),203.150đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_225543_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935244874389.jpg,Lược Sử Nước Việt Bằng Tranh (Tái Bản 2024),126.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244874389.jpg
D:\study\OJT\ImagesBookSearch\backend\images\nkcbnn19sn.jpg,Diary Of A Wimpy Kid - Nhật Ký Chú Bé Nhút Nhát - Tập 19 - Mớ Bòng Bong - Hot Mess (Song Ngữ Việt-Anh),72.000đ,https://cdn0.fahasa.com/media/catalog/product/n/k/nkcbnn19sn.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_188285.jpg,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),41.650đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_188285.jpg
D:\study\OJT\ImagesBookSearch\backend\images\lhmn_phienbanmoi_bia_tap5.jpg,Lớp Học Mật Ngữ Phiên Bản Mới - Tập 5 - Tặng Kèm Standee Lớp Học Mật Ngữ,21.250đ,https://cdn0.fahasa.com/media/catalog/product/l/h/lhmn_phienbanmoi_bia_tap5.jpg
D:\study\OJT\ImagesBookSearch\backend\images\hh-nha-cua-ai-cao-hon.jpg,Nhà Của Ai Cao Hơn?,61.500đ,https://cdn0.fahasa.com/media/catalog/product/h/h/hh-nha-cua-ai-cao-hon.jpg
D:\study\OJT\ImagesBookSearch\backend\images\39-cuoc-doi-thoai-tri-thuc.jpg,"39 Cuộc Đối Thoại Tri Thức - Tri Thức Là Để Đối Thoại, Không Phải Để Áp Đặt",135.000đ,https://cdn0.fahasa.com/media/catalog/product/3/9/39-cuoc-doi-thoai-tri-thuc.jpg
